image_id,shelfmark,jpeg_path
0057333c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150331~162616
0057334c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150332~162615
0057335c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150333~162614
0004076c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52172~104017
0004077c,*P.15.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52185~104018
0001370c,*P.21.19,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61250~103630
0001371c,*P.21.19,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61262~103631
0001367c,*P.21.70,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61212~103627
0001368c,*P.21.70,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61225~103628
0001547c,*P.21.74-75,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61547~103655
0001548c,*P.21.74-75,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61558~103656
0001549c,*P.21.74-75,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61569~103657
0003026c,*P.26.29-30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51543~103968
0001788c,*P.26.30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61667~103665
0001789c,*P.26.30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61681~103666
0009248c,*Q.32/30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~66030~104292
0009249c,*Q.32/30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~66041~104293
0009250c,*Q.32/30,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~66052~104294
0056371c,*Q.33.62,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~129855~108629
0001369c,*R.21.22-23,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61237~103629
0001377c,*R.21.22-23,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61334~103637
0001378c,*R.21.22-23,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61346~103638
0022942c,*S.19.26,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~74935~105714
0022943c,*W.16.25,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~74948~105715
0005705c,*W.16/25,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~53789~104153
0025282c,*W.18.36,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~81455~106852
0066477c,*Y.1.4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151263~177552
0002439c,*Y.1.4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~64080~103859
0002440c,*Y.1.4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~64093~103860
0001417c,*Y.20.43-44,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61369~103640
0001418c,*Y.20.43-44,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61381~103641
0001419c,*Y.20.43-44,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61392~103642
0001420c,*Y.20.43-44,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~61403~103643
0055802c,*Z.8.1/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~91244~107237
0055803c,*Z.8.1/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~91257~107238
0013472c,Â© The University of Edinburgh,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~2~2~53414~102121
0003106c,941.445 GRA,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51865~103992
0013460c,A very scarce print.,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~2~2~53298~102112
0001260c,A.10.65,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~60803~103597
0018478c,A.17.34,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~59384~105453
0003024c,A.17.WH1/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51517~103966
0003022c,A.17.WH1/3,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51492~103964
0003023c,A.17.WH1/4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51505~103965
0078241c,A.a.4.67/4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82417~165252
0078240c,A.a.4.67/6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82416~165253
0022256c,A.b.4.14/15,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55600~102296
0055536c,A.b.5.14,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~65380~103130
0055859c,A.b.5.15,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~66541~103225
0078188c,A.b.6.2/8,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82375~165294
0078189c,A.b.6.2/9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82376~165293
0056295c,A.b.7.10/7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~81689~103264
0022266c,A.b.7.11/5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55724~102306
0024942c,A.b.8.18/10,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~56102~102338
0056288c,A.c.3.16/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~81604~103257
0022239c,A.c.4.17/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55396~102279
0078221c,A.c.4.2/10,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82397~165272
0056289c,A.c.4.2/7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~81616~103258
0056290c,A.c.5.10/8,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~81627~103259
0018155c,A.c.a.37,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54372~102206
0018156c,A.c.a.38,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54384~102207
0018157c,A.c.a.38,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54396~102208
0018154c,A.c.a.40,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54359~102205
0018692c,A.c.b.20/7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55066~102263
0018682c,A.c.b.7a/4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54941~102253
0018683c,A.c.b.7a/4,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~54953~102254
0018696c,A.c.b.9/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~55112~102267
