System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
1270,Alexander,Nasmyth,,,,Individual,,"Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (primary) : Painter, Production Person (primary) : Artist",Male
1194,James Harfield,Kernot,James  Harfield,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
1616,,Day & Son,,,,,Corporate,"Production Person (pri & sec) : Lithographer, Production Person (secondary) : Lithographer",
3476,James Aitken,Wylie,James,Rev Dr,,Individual,Person,,
3627,Henrik,Koestler,,,,Individual,Person,,
1204,David,Laing,,,,Individual,,"Production Person (pri & sec) : Recipient, Production Person (secondary) : Recipient",
5620,,Roslin Institute,,,,Institution,Corporate,,
6197,,Model Release No.2684,,,,,Corporate,,
6207,Mary,Price,Mary,,,Individual,Person,,
5619,James Cossar,Ewart,James,,,Individual,Person,,
2006,,Goodison,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1906,,Stanesby Junior,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
6671,Henry William,Brewer,Henry,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
8679,,,,,,,Person,,
8680,,,,,,,Person,,
97,G R,"Black, of London",,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
3278,Mary,Gordon (Wilson),Mary,Mrs,,Individual,Person,,Female
3182,James,Begg,James,Rev Dr,,Individual,Person,,
4949,John,,,Marquis,of Tweeddale,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
4950,Ian,Hay,Ian,,,Individual,Person,"Acquisition Source : donor, Acquisition Source : lender",
6529,Frank,Thomson,Frank,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6530,Wendy,Gunn,Wendy,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5049,Thomas,Douglass,,,,Individual,Person,"Production Person (pri & sec) : Donor, Production Person (primary) : Donor",
5050,Francis,Bodley,Francis,,,Individual,Person,"Production Person (pri & sec) : Owner, Production Person (primary) : Owner",
8587,,,,,,,Person,,
5205,T.C.,Smout,T.C.,,,Individual,Person,Primary Person : Author,
5819,Robert,Blair,Robert,,,Individual,Person,,
5820,Hugh,Clark,Hugh,,,Individual,Person,,
8479,Lisa,Flett,Lisa,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8480,Gillian,Curry,Gillian,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5195,R.W.,Monro,R.W.,,,Individual,Person,Primary Person : Editor,
8953,,G.C. Conn Ltd,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
549,Ian,Campbell,,,,Individual,,,
154,Simon,Jennings,,,,Individual,,Current Owner,
4695,Thomas,Jenner,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
4705,Thomas,Porter,,,,Individual,,"Production Person (pri & sec) : Author, Production Person (primary) : Author",
5393,Alexander Crum,Brown,Alexander,,,Individual,Person,"Production Person (pri & sec) : Donor, Production Person (pri & sec) : Maker, Production Person (primary) : Donor, Production Person (primary) : Maker",
5403,John,Baillie,John,,of Leys,Individual,Person,"Production Person (pri & sec) : Previous owner, Production Person (primary) : Previous owner",
3274,William Henry,Goold,William,,,Individual,Person,,
4575,Patrick,Duff,,,of Premnay,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
550,David,Alison,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
1265,Robert,Mylne,,, I,Individual,,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",
2474,Timothy,Kenna,Timothy,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2526,,Cramer and Key,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
7277,Mary,Anderson,Mary,,,Individual,Person,,
8067,,Maull & Polybank,,,,Individual,Person,"Production Person (pri & sec) : Photographers, Production Person (secondary) : Photographers",
7967,Henry,Edridge,,,,Individual,Person,"Production Person (pri & sec) : Draughtsman/designer and Publisher, Production Person (secondary) : Draughtsman/designer and Publisher",Male
6851,Stuart T.,MacKenzie,Stuart,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
